Source,Prediction,Reference
by triangulating honey DNA samples.,bằng cách tính đo các mẫu DNA mật ong.,bằng cách lập lưới tam giác các mẫu DNA mật ong.
"China has cut the amount of funds banks have to hold in a reserve , in a bid to boost its economy .","Trung Quốc đã cắt giảm số lượng ngân hàng quỹ đầu tư phải nắm giữ trong một khoản dự trữ , trong một nỗ lực để thúc đẩy nền kinh tế của nó .","Với nỗ lực để thúc đẩy nền kinh tế , Trung Quốc đã cắt giảm số tiền dự trữ của các ngân hàng ."
"You go on vacation, and you're actually on vacation.","Bạn đi du lịch, và thực sự đang đi du lịch.","Bạn đi du lịch, và bạn thật sự đang du lịch."
"""What are you willing to give up?""","""Bạn sẵn sàng từ bỏ cái gì?""","""Bạn sẵn sàng từ bỏ điều gì?"""
1-2 months,1-2 tháng,1-2 tháng
we are going to assume that she drank.,chúng tôi sẽ cho rằng cô ấy uống.,chúng tôi sẽ cho rằng cô ấy đã uống.
Make yourself known : The key is to ID your bag in multiple places - outside as well as inside - by placing ID cards in various pockets and pouches .,Hãy tự biết : Chìa khóa là để xác định va-li của bạn ở nhiều nơi - ngoài kia cũng như bên trong - bằng cách đặt các thẻ ID trong nhiều túi và các cái áo .,Làm cho chính mình được biết đến : Điều quan trọng để nhận ra va-li của bạn ở nhiều nơi - bên ngoài cũng như bên trong va-li - bằng cách đặt nhiều thẻ nhận dạng vào nhiều ngăn túi nhỏ .
"And though conventional feature phones still hold a healthy chunk of the market , they 've been losing that once-dominant share to smartphones .","Và mặc dù điện thoại thông thường vẫn giữ một khoảng cách khỏe mạnh thị trường , họ vẫn mất cổ phiếu đó một lần đối với điện thoại thông minh .","Mặc dù điện thoại thông thường vẫn giữ được vị trí tốt trên thị trường , chúng đã liên tục đánh mất thị phần chiếm lĩnh một thời cho điện thoại thông minh ."
"Sometimes it can be a bit difficult for us to communicate with each other,","Đôi khi chúng ta có thể giao tiếp với nhau,","Thỉnh thoảng, chúng tôi gặp chút khó khăn khi giao tiếp với nhau,"
Miss Sullivan and others had to teach her what was in these books by forming words in her hands .,Cô Sullivan và những người khác phải dạy cô ấy những gì trong những quyển sách này bằng cách tạo ra những từ trong tay cô ấy .,Cô Sullivan và những người khác phải dạy cô những điều trong sách bằng cách viết chữ vào tay .
I can't forget about those Ding Dongs,Tôi không thể quên những con Đông Đông,Tôi luôn nghĩ về những cái bánh Ding Dongs ấy
"Pat and I established PXE International,","Pat và tôi thành lập PXE International,","Pat và tôi thành lập PXE Quốc tế,"
It produces all of the bounding boxes and class probabilities simultaneously.,Nó tạo ra tất cả các hộp và các xác suất lớp cùng nhau.,tạo ra đồng thời tất cả các hộp giới hạn và các khả năng
"And that made me wonder, too,","Và điều đó cũng khiến tôi tự hỏi,",Và tôi cũng tự hỏi
and he shared this quote by Heraclitus that sticks with me to this day.,và ông chia sẻ câu chuyện này bởi Heraclitus đã gắn bó với tôi vào ngày hôm nay.,đã chia sẻ một câu nói của Heraclitus mà tôi nhớ mãi.
"Two-way trade between the countries continued to expand in the first quarter of 2020, with U.S. exports to Vietnam growing 17% over the same period last year.","Thương mại hai chiều giữa các quốc gia tiếp tục mở rộng trong quý đầu năm 2020, với xuất khẩu Hoa Kỳ sang Việt Nam đang tăng 17% so với cùng kỳ năm ngoái.","Thương mại hai chiều giữa các nước tiếp tục mở rộng trong quý đầu tiên của năm 2020, với xuất khẩu của Hoa Kỳ sang Việt Nam tăng 17% so với cùng kỳ năm ngoái."
"It 's not clear why this happens , Laeng says .","Không rõ tại sao điều này xảy ra , Laeng nói .","Chưa rõ nguyên nhân vì sao chuyện này xảy ra , Laeng cho biết ."
even in a very extreme environment here on Earth.,ngay cả trong một môi trường rất cực đoan trên Trái Đất.,trong môi trường rất khắc nghiệt trên trái đất.
just like our lives.,giống như cuộc sống của chúng ta.,như cuộc sống của chúng ta.
And I hope that what I've done is aroused your curiosity enough,Và tôi hy vọng những gì tôi đã làm là sự tò mò của bạn đủ tốt,Và tôi hy vọng những gì tôi vừa làm đã đủ khuấy động sự tò mò của các bạn.
"Almost uncontrollably I made one step closer to her , and then I saw Hollis Maynell .","Gần như không kiểm soát được , tôi đã thấy Hollis Maynell .","Hoàn toàn không thể cưỡng lại , tôi bước gần hơn về phía cô , bất chợt tôi nhìn thấy Hollis Maynell ."
"In 2018, revenues skyrocketed to VND21.26 trillion ($918.2 million), the highest earner behind its real estate segment, but pre-tax losses also expanded to VND5.1 trillion ($220.26 million).","Năm 2018, doanh thu tăng lên 21,26 nghìn tỷ đồng (918.2 triệu USD), người giàu nhất sau phân khúc bất động sản, nhưng những khoản thua lương trước thuế cũng tăng lên 5,26 nghìn tỷ đồng (220,22 triệu USD).","Đến năm 2018, lợi nhuận đã tăng lên đến 21.26 nghìn tỷ VNĐ ($918.2 triệu đô), nguồn thu cao nhất chỉ sau bất động sản, nhưng các khoản lỗ trước thuế đã tăng lên đến 5.1 nghìn tỷ VNĐ ($220.26 triệu đô)."
We chose Henry captain of our team.,Chúng tôi chọn Henry là thuyền trưởng của đội.,Tụi tao đã chọn Henry làm đội trưởng của đội của tụi tao rồi.
and being listened to in an empathetic way.,và được lắng nghe theo một cách tự hào.,và việc được lắng nghe một cách đầy cảm thông.
So five million tons,Vậy năm triệu tấn,Năm triệu tấn muối
as if they could be anywhere at any time.,như thể chúng có thể ở bất cứ nơi nào.,như thể chúng có thể ở khắp mọi nơi vào bất kỳ lúc nào.
"After all, cities are places of concentrated variety","Sau tất cả, thành phố là nơi có nhiều sự khác biệt","Không thể phủ nhận rằng các đô thị là một tập hợp đa dạng,"
Health officials say survivors can show their communities that Ebola is not a death sentence.,Các quan chức y tế cho biết những người sống sót có thể cho cộng đồng của họ thấy Ebola không phải là một tử vong.,Các cán bộ y tế cho biết những người sống sót có thể chứng minh cho cộng đồng của mình thấy rằng Ebola không phải là án tử.
And by collecting more and more data about metabolites,Và bằng cách thu thập nhiều dữ liệu về chuyển hoá,Và bằng cách thu thập ngày càng nhiều dữ liệu về chất chuyển hoá
because I'm tired.,vì tôi mệt mỏi.,vì tôi cũng mệt mỏi.
"Since then on each on August 6 , a somber echo of a temple bell reverberates through Hiroshima 's Peace Memorial Park .","Kể từ đó vào ngày 6 tháng 8 , tiếng vang lớn của một chiếc chuông đài đền tới tận sân chấp Hồi giáo của Hiroshima .","Từ đó cứ vào ngày 6 tháng tám hàng năm , hồi chuông tang thương từ đền thờ vang vọng khắp công viên tưởng niệm hoà bình Hiroshima ."
"Since Wednesday, Hanoi has been implementing a 15-day social distancing campaign, asking people not to venture outside their homes except for essential reasons like buying foods and medicine or other emergencies.","Kể từ thứ Tư, Hà Nội đã thực hiện chiến dịch giãn cách xã hội 15 ngày, yêu cầu mọi người không nối ngoài nhà của họ ngoại trừ những lý do cần thiết như mua thực phẩm và thuốc hoặc các vụ khẩn cấp khác.","Kể từ thứ Tư, Hà Nội đã thực hiện chiến dịch cách ly xã hội trong 15 ngày, yêu cầu mọi người không mạo hiểm ra khỏi nhà ngoại trừ các lý do thiết yếu như mua thực phẩm và thuốc hoặc các trường hợp khẩn cấp khác."
"We're ordering it the right way,","Chúng tôi đang yêu cầu nó theo cách đúng,","Chúng tôi sẽ sắp xếp lại trật tự,"
There is no escape from fate.,Không có gì tránh khỏi số lượng.,Thật khó mà thoát khỏi số phận.
"If you were to look at it from a helicopter,","Nếu bạn nhìn nó từ máy bay,","Nếu bạn nhìn từ máy bay trực thăng,"
"""According to Nguyen Minh Trang, coordinator at the """"Zero supermarket"""", said her company had spent nearly VND10 billion ($42,688) to stock the eight stores.""","""Theo ông Nguyễn Minh Trang, phối viên tại """"Siêu thị Zero"""", cho biết công ty của mình đã chi gần 10 tỷ đồng (42.687 USD) để cổ phiếu tám cửa hàng.""","""Theo bà Nguyễn Minh Trang, điều phối viên tại """"siêu thị O đồng"""" này, cho biết công ty của bà đã chi gần 10 tỷ đồng (42.688 đô la) cho tám cửa hàng."""
"Over to you now, Robert Sapolsky.","Hiện tại, Robert Sapolsky.",Xin được giới thiệu ngài Robert Sapolsky.
to determine the media DNA for a specific person.,để xác định DNA truyền thông cho một người cụ thể.,xác định ADN truyền thông cho mỗi cá nhân cụ thể.
Today the spectacular Brooklyn Bridge stands in all its glory as a tribute to the triumph of one man 's indomitable spirit and his determination not to be defeated by circumstances .,"Hôm nay , đường băng Brooklyn rất ấn tượng nằm trong tất cả sự vinh dự của nó như một lời cầu nguyện với sự thắng lợi của tinh thần nỗi sợ của một người đàn ông và sự quyết tâm của anh không bị đánh bại bởi những hoàn cảnh .",Ngày nay cây cầu Brooklyn ngoạn mục đứng đó trong huy hoàng như để tưởng nhớ đến chiến thắng của một người đàn ông với ý chí bất khuất và lòng quyết tâm không hề bị lung lay bởi nghịch cảnh .
"But some of the government 's actions lead to other worries , and economists say the country still faces economic challenges , including inflation and concerns over corruption and government controls .","Nhưng một số hành động của chính phủ dẫn đến những lo ngại khác , và các nhà kinh tế học cho biết nước này vẫn đối mặt với những thách thức kinh tế , bao gồm lạm phát và lo ngại về tham nhũng và kiểm soát chính phủ .","Tuy nhiên vài chính sách của chính phủ cũng gây ra một số lo ngại và các nhà kinh tế cho rằng VN vẫn còn đối mặt với nhiều thách thức kinh tế như lạm phát , những lo ngại về vấn nạn tham nhũng và sự kiểm soát của chính phủ ."
I've had a lot of conversations,Tôi đã có nhiều cuộc trò chuyện,nhưng tôi lại từng trò chuyện
Such apps are so few and far between that it 's nigh impossible to find one .,Những ứng dụng như vậy rất ít và xa giữa những lúc mà không thể tìm được một cái nào .,Ứng dụng loại này thất thường đến nỗi gần như không thể tìm được một ứng dụng như vậy .
"“It creates a walkway in the sky, among the foggy and fairy-like lands of Ba Na mountain,” he told the Reuters news agency.","“Nó tạo ra một con đường đi bộ trên bầu trời, trong số những địa điểm như những đám đông và những nơi như nổi bật của núi Ba Na,” ông chia sẻ với hãng tin Reuters.","""Ông nói với hãng tin Reuters: """"Cây cầu tạo ra một lối đi trên bầu trời, giữa những vùng đất sương mù và cổ tích giống như núi Bà Nà"""""""
"The changes could see the number of NATO agencies which look after areas such as logistics , communications , research and training cut from 14 to three .","Những thay đổi này có thể thấy số lượng các cơ quan NATO chăm sóc các khu vực như logistic , truyền thông , nghiên cứu và đào tạo cắt giảm từ 14 đến 3 .","Các thay đổi có thể dẫn đến cắt giảm số lượng các cơ quan của NATO trong những lĩnh vực như hậu cần , thông tin , nghiên cứu và huấn luyện từ 14 xuống 3 ."
"Finally , he asked her to sip the coffee .","Cuối cùng , ông ấy yêu cầu cô ấy nấu cà phê .","Cuối cùng , cô nhấp thử cà phê ."
I wish you enough happiness to keep your spirit alive .,Tôi ước bạn đủ hạnh phúc để giữ cho tinh thần của bạn sống .,Tôi chúc bạn đủ hạnh phúc để giữ tâm hồn mình luôn tươi trẻ .
to go back and work in the field where he got blown up.,để trở lại và làm việc trong lĩnh vực mà anh ta đã từng tỉnh táo.,khi quay lại làm việc nơi anh ta gặp tai nạn.
Inflammatory Bowel Disease ( IBD ),Bệnh bạch cầu gây nổi mầm ( IBD ),Bệnh viêm ruột ( IBD )
Swiss bank freezes Julian Assange 's account,Ngân hàng Thụy Sĩ lọc tài khoản của Julian Assange,Ngân hàng Thuỵ Sĩ đóng băng tài khoản của Julian Assange
"Our cells are flashing,","Tế bào của chúng ta đang phát triển,",Tế bào của chúng tôi đang nhấp nháy
Some examples of interventions include:,Một số ví dụ của sự can thiệp bao gồm:,Một số ví dụ về các can thiệp bao gồm:
"Like Kavugho, he found it impossible to return to his former job and now cares for Ebola patients.","Như Kavugho, anh ấy thấy không thể quay trở lại công việc cũ của mình và hiện đang chăm sóc bệnh nhân Ebola.","Tương tự như Kavugho, anh nhận ra rằng mình không thể quay lại công việc như trước đây và giờ phải chăm sóc cho các bệnh nhân Ebola khác."
"into the program, or they come with programs;","vào chương trình, hoặc chương trình;",hoặc được cài đặt kèm theo các chương trình máy tính
So are video game systems and digital cameras .,Vậy là hệ thống trò chơi video và máy ảnh kỹ thuật số .,Ngoài ra còn có trò chơi điện tử và máy ảnh kỹ thuật số .
Seriously? I get paid to complain about climate models.,Tôi được trả tiền để phàn nàn về mô hình khí hậu.,Thật chứ? Tôi được trả tiền để kêu ca về kiểu hình thời tiết mà.
"Well, because they look a lot like the plants we still have nowadays.","Vâng, vì chúng trông giống như những loài cây chúng ta vẫn còn tồn tại hiện nay.","ồ, thì chúng trông rất giống những loại cây mà chúng ta vẫn trông thấy hiện nay"
What kind of citizenship are we applying for?,Chúng ta đang áp dụng quyền công dân gì?,Chúng ta đang xin loại quốc tịch nào?
I will have been staying in this hotel for one month next Sunday.,Tôi sẽ ở lại khách sạn này trong một tháng tới.,Tôi sẽ ở lại khách sạn này trong một tháng kể từ ngày thứ hai tới.
You ca n't truly stand up for Georgia when you 've strained our oldest alliances .,Bạn không thể thực sự đứng lên Georgia khi bạn đã nới lỏng các liên minh cũ nhất của chúng tôi .,Bạn không thể thực sự bảo vệ Georgia khi bạn có căng thẳng các liên minh cũ của chúng tôi .
I joined a group that brought controversial speakers to campus.,Tôi tham gia một nhóm đã đưa những người nói chuyện tranh cãi đến trường.,tôi tham gia vào hội những người ưa tranh luận.
"But if you do , your doctor may do tests to see if a health problem may be causing the miscarriages .","Nhưng nếu bạn làm , bác sĩ có thể làm xét nghiệm để xem liệu một vấn đề sức khỏe có thể gây ra sẩy thai hay không .","Nhưng nếu bạn bị như vậy , bác sĩ của bạn có thể làm xét nghiệm để tìm ra vấn đề sức khoẻ có thể là nguyên nhân gây ra sẩy thai ."
"Additional growth could occur as high-tech companies create new mobile broadband products and services , further changing the way people live , work and learn .","Sự tăng trưởng còn có thể xảy ra khi các công ty công nghệ cao tạo ra các sản phẩm và dịch vụ điện thoại di động mới , thay đổi cách mà người sống , làm việc và học tập .","Quá trình phát triển bổ sung có thể xảy ra khi các công ty công nghệ cao tạo ra các sản phẩm và dịch vụ băng thông rộng di động mới , tiếp tục thay đổi cách sống , làm việc và học tập của con người ."
Did you eat yet?,Bạn chưa ăn được không?,Bạn đã ăn chưa?
"Vietnamese women have also succeeded in running large, international businesses.",Phụ nữ Việt Nam cũng đã thành công trong việc chạy các doanh nghiệp quốc tế lớn.,"Phụ nữ Việt Nam cũng đã thành công trong việc điều hành những doanh nghiệp lớn, có quy mô quốc tế."
"The waterfall forms only during the rainy season, cascading from a height of 30 meters into the Than Sa River below.","Đám nước chỉ hình thành trong mùa mưa, rộng từ cao 30 mét vào sông Than Sa dưới.","Thác chỉ hình thành trong mùa mưa, thác chảy từ độ cao 30 mét xuống sông Thần Sa bên dưới."
but actually that is when our brain gets really busy.,"nhưng thực ra, đó là khi não ta thực sự bận rộn.",nhưng thật ra thì đó là lúc não chúng ta trở nên bận rộn nhất.
"Now, a lot of things are different, right?","Bây giờ, nhiều thứ khác nhau, đúng không?","Giờ nhiều thứ đã khác, phải không?"
"They learned to use animals to help them work , and for food .","Họ học cách sử dụng động vật để giúp họ làm việc , và cho thức ăn .","Họ học cách dùng các con vật để giúp họ làm việc , và tìm kiếm thức ăn ."
"In fact, President Carter,","Thực ra, Tổng thống Carter,","Thật ra, tổng thống Carter"
Muhammad asked.,Muhammad hỏi.,Muhammad hỏi.
"Grab has given each of them space to cook for free though they have to pay utility(3) bills, and gets a commission on the orders.",Grab đã cho mỗi người nấu ăn miễn phí mặc dù họ phải trả các hóa đơn hữu dụng và được ủy ban trả lương.,Grab cung cấp cho mỗi đơn vị một gian bếp riêng và không thu tiền thuê mặt bằng mà chỉ lấy tiền điện nước và ăn chia hoa hồng trên đơn hàng.
There are a number of alternative ways you can handle this .,Có một số cách thay thế bạn có thể xử lý điều này .,Có một số vấn đề tương tự bạn có thể giải quyết như vậy .
might help us all address what is fast becoming a global crisis.,có thể giúp chúng ta giải quyết những gì trở thành một cuộc khủng hoảng toàn cầu.,có thể giúp giải quyết vấn đề đang dần trở thành khủng hoảng toàn cầu.
Interest Rates,Tỷ lệ thu nhập,Lãi suất
National statistics sometimes group these two mortality rates together.,Thống kê quốc gia đôi khi đều tập hợp hai tỷ lệ tử vong này với nhau.,Thống kê quốc gia đôi khi nhóm hai tỷ lệ tử vong này lại với nhau.
"""['The study is published in JAMA Psychiatry.', 'Lead researcher Dr Rebecca Pearson told the BBC: """"Depression in pregnancy should be taken seriously and treated in pregnancy.', 'It looks like there is a long-term risk to the child, although it is small.""""']""","['Nghiên cứu được công bố trong JAMA Psychiatry.', 'Tiến sĩ Rebecca Pearson chia sẻ với BBC: """"Chứng trầm cảm trong thai kỳ nên được điều trị nghiêm trọng và điều trị trong thai kỳ.', 'Nó trông giống như có nguy cơ lâu dài cho trẻ em.', 'Mặc dù nó nhỏ.']","['Nghiên cứu được công bố trên tạp chí JAMA Psychiatry, trưởng nhóm nghiên cứu, tiến sĩ Rebecca Pearson trả lời trên BBC: “Trầm cảm khi mang thai cần phải được quan tâm và chữa trị trong kì thai nghén.', 'Nó có vẻ có ảnh hưởng lâu dài đến đứa trẻ, cho dù là nguy cơ nhỏ.”']"
but people ask me all the time,nhưng mọi người hỏi tôi mọi lúc,Nhưng mỗi lần mọi người hỏi tôi
we are on stage.,chúng tôi đang ở giai đoạn.,chúng tôi ở trên sân khấu.
The global economic crisis highlights the deficiencies of existing international institutions .,Cuộc khủng hoảng kinh tế toàn cầu nhấn mạnh những thiếu sót của các cơ quan quốc tế hiện có .,Khủng hoảng kinh tế toàn cầu nhấn mạnh những khiếm khuyết của cơ quan quốc tế hiện tại .
where people should be living in the community with appropriate supports,nơi mà mọi người nên sống trong cộng đồng với những sự hỗ trợ thích hợp,nơi mọi người nên sống trong cộng đồng với những hỗ trợ tương ứng
"Newborns are also coated with a thick , pasty , white material called vernix caseosa , most of which will be washed off during the baby 's first bath .","Trẻ sơ sinh cũng được lấy bằng chất dày , dày , trắng được gọi là bằng chất siêu vi , hầu hết trong lúc tắm đầu tiên của bé .","Trẻ sơ sinh cũng phủ lớp chất màu trắng dày , sền sệt gọi là bã nhờn thai nhi – lớp bã nhờn này thường được rửa sạch hết trong lần tắm đầu tiên của trẻ ."
was vividly expressed in the words of my best friend,được bày tỏ sự sáng tạo trong lời nói của bạn thân nhất,được diễn tả sinh động bằng lời của bạn tốt nhất của tôi
"Digital storage is really expensive,","Sử dụng số liệu thực sự đắt đỏ,","Lưu trữ kĩ thuật số thực sự rất đắt đỏ,"
"and by tracking air quality around them,","và bằng cách theo dõi chất lượng không khí xung quanh chúng,","và nhờ theo dõi chất lượng không khí xung quanh,"
Let me tell you about them.,Để tôi nói về chúng.,Để tôi nói bạn nghe về chúng.
""" We 'll certainly be caught in the downdraught of negative sentiment for markets today , "" said Michael McCarthy , chief market strategist from CMC Markets in Sydney .",""" Chúng tôi chắc chắn sẽ bị bắt trong nỗi tức giận của tình cảm tiêu cực cho thị trường hôm nay , "" Michael McCarthy , nhà chiến lược thị trường từ Thành phố HCM ở Sydney nói .",""" Chúng ta chắc chắn sẽ mắc kẹt trong đà tụt dốc của tâm lý tiêu cực đối với thị trường hôm nay , "" theo lời Michael McCarthy , trưởng nhóm chiến lược thị trường của tổ chức CMC Markets ở Sydney ."
but there's still a third thing you need to be aware of.,nhưng vẫn còn một điều thứ ba bạn cần nhận ra.,nhưng vẫn còn điều thứ ba bạn cần biết.
"to prosecute my own case,","để tự xử lý trường hợp của mình,","để truy tố vụ án của tôi,"
"Out of the two designs, I prefer the former to the latter.","Trong hai thiết kế, tôi thích thứ trước đó với thứ sau.","Trong hai thiết kế, tôi thích cái trước hơn cái sau."
"and we're hanging out with our bartender friend Jeff,","và chúng tôi đang tập hợp với bạn thân của mình Jeff,","trò chuyện Jeff, một nhân viên pha chế rượu chúng tôi quen."
"During the talks , eurozone leaders agreed to work on new budgetary rules , which envisage automatic penalties .","Trong cuộc đàm phán , các nhà lãnh đạo khu vực đồng Euro đồng ý làm việc về các quy tắc ngân sách mới , những quy định tự động tự động .","Trong suốt các buổi hội đàm , các nhà lãnh đạo khu vực đồng euro đồng ý hành động theo những quy định ngân sách mới , những quy định vạch ra những hình phạt tự động ."
in a world with intuitive technology,trong một thế giới với công nghệ thông minh,"trong thế giới công nghệ dễ dàng tiếp cận này,"
And what I want to tell you today,Và điều tôi muốn nói với bạn hôm nay,Và những gì tôi muốn nói với các bạn ngày hôm nay
but I do think that we have a pretty decent chance,nhưng tôi nghĩ rằng chúng ta có một cơ hội khá tốt,nhưng tôi cho rằng ta có một cơ hội thật tuyệt
"The colors and iridescence of the tail feathers,","Những màu sắc và sự sống sót của những con răng đuôi,","MÃ u sáº¯c vÃ  sá»± Ã³ng Ã¡nh cá»§a lÃ´ng ÄuÃ´i,"
* Set certain times to check your email .,* Hãy đặt vào một vài lần để kiểm tra email của bạn .,* Thiết lập thời gian cố định nào đó để kiểm tra email .
"and our sort of image of it,","và ảnh của chúng tôi,","và cách xã hội nhìn nhận nó,"
The dwindling figures followed hundreds of new Covid-19 community transmission cases have been recorded in the country since the end of July.,Những con số bị tàn phá sau đó là hàng trăm trường hợp lây truyền Covid-19 mới trong cộng đồng đã được ghi nhận tại nước này kể từ cuối tháng Bảy.,Các số liệu giảm dần theo sau hàng trăm trường hợp lây nhiễm Covid-19 mới trong cộng đồng đã được ghi nhận ở nước này kể từ cuối tháng Bảy.
this flower over there.,hoa này ở đó.,chính là loại hoa này.
"Dung was a manager of the center’s document management division at the HCMC Social Support Center run by the municipal Department of Labor, War Invalids and Social Affairs.","Dũng là quản lý phân phối tài liệu của trung tâm tại Trung tâm hỗ trợ xã hội TP HCM do Sở Lao động, Vận động và Xã hội thành phố chạy.","Dũng là quản lý của bộ phận quản lý tài liệu trung tâm tại Trung tâm hỗ trợ xã hội TP.HCM do Sở Lao động, Thương binh và Xã hội do thành phố điều hành."
and we paired the student with a lab partner.,và chúng tôi kết nối học sinh với một người đối tác phòng thí nghiệm.,và chọn một bạn cùng lớp để hợp tác với sinh viên đó.
Tom helps us.,Tom giúp chúng tôi.,Tom giúp đỡ chúng tôi.
But it is a two-way road.,Nhưng nó là một con đường hai chiều.,Theo hai chiều.
"that I now realize was well-intentioned,","mà tôi nhận ra là sự mong muốn,",mà giờ tôi mới hiểu đó là một ý định tốt
I love to watch people's reactions when I say who I am.,Tôi yêu thích xem phản ứng của mọi người khi tôi nói mình là ai.,Tôi thích xem phản ứng của mọi người không tôi nói tôi là ai.
1 . 5 potential roles of the government in promoting small business,1 . 5 vai trò tiềm năng của chính phủ trong việc thúc đẩy doanh nghiệp nhỏ,1 . 5 vai trò của nhà nước có thể giúp phát triển doanh nghiệp nhỏ
"Onward itself saw the biggest weekend-to-weekend drop of any Pixar film, making $10.5 million, though was still the weekend's biggest film and the only one to make over $10 million.","Bản thân nó thấy sự giảm lớn nhất trong cuối tuần từ tuần đến tuần trước của bất kỳ bộ phim nào của Pixar, làm 10,5 triệu đô la Mỹ, mặc dù vẫn là bộ phim lớn nhất cuối tuần và là một bộ phim duy nhất để tạo ra hơn 10 triệu đô la Mỹ.","Bản thân Onward đã chứng kiến sự sụt giảm lớn nhất từ cuối tuần đến cuối tuần của bất kỳ bộ phim Pixar nào, chỉ kiếm được 10,5 triệu đô la, mặc dù vẫn là bộ phim lớn nhất cuối tuần và là phim duy nhất kiếm được hơn 10 triệu đô la. Vào ngày 19 tháng 3, Walt Disney Studios và Universal Pictures tuyên bố rằng họ sẽ không tiếp tục báo cáo số liệu phòng vé."
"It was my first time as the leader of a company,","Đó là lần đầu tiên tôi là nhà lãnh đạo của một công ty,",Đó là lần đầu tiên tôi làm lãnh đạo cho một công ty
"Facebook is notified when a user visits a site on the Web that uses Facebook Connect , which also has a slippery history of leaking info to third parties .","Facebook được thông báo khi người dùng đến một trang web trên Web sử dụng Facebook Connect , cũng có lịch sử lôi cuốn các thông tin đến các bên thứ ba .","Facebook sẽ được thông báo khi người dùng đến một trang web sử dụng Facebook Connect , một dịch vụ cũng từng có tiền sử tiết lộ thông tin cho các bên thứ ba ."
He earned pocket money by playing at village celebrations and weddings.,Anh ấy kiếm được tiền túi bằng cách chơi tại các lễ kỉ niệm và lễ tưởng niệm ở làng.,Cụ kiếm được tiền bằng cách chơi nhạc ở các đám cưới và lễ hội trong làng.
"a university,","một đại học,","trường đại học,"
based on their behavior and not on the happenstance of their looks.,dựa trên hành vi của họ và không phải sự tình cờ của nhìn.,dựa trên cách cư xử của họ chứ không phải vẻ ngoài ngẫu nhiên
"However , the Earth routinely experiences these periods of increased solar activity – for eons - without worrisome effects .","Tuy nhiên , Trái Đất thường trải qua những giai đoạn hoạt động mặt trời tăng lên – cho các tảng - mà không có tác động gì đáng tin cậy .","Tuy nhiên , trong hàng ngàn năm qua Đất vẫn thường xuyên trải qua các giai đọan mà thời gian hoạt động của Mặt Trời kéo dài hơn và không hề có ảnh hưởng nào đáng lo ngại ."
and this is what he created.,và đây là điều anh ấy tạo ra.,và đấy là sản phẩm anh ấy đã tạo ra.
"Though it managed to sell 2 million Lumia Windows Phone handsets , those were n't enough to offset the overall downward spiral .","Mặc dù nó đã quản lý bán 2 triệu chiếc máy tính Windows Phone Lumia , nhưng những chiếc máy tính đó không đủ để giảm tổng sự sụt giảm .","Mặc dù đã bán được 2 triệu chiếc điện thoạt dòng Lumia chạy Windows Phone , nhưng con số này vẫn không đủ để bù đắp doanh thu đang sụt giảm liên tục ."
I demur dividing the table bill evenly to cover desserts and designer coffees,Tôi từ chối lệnh chia tách dự luật còn để bao gồm các bữa ăn và cà phê thiết kế,"Tôi phản đối việc chia đều hóa đơn bao gồm cả món tráng miệng, cà phê"
That 's the good-looking shape-shifter who phases into a wolf in the same series .,"Đó là người chuyển động hình dạng tốt , những người sẽ lập tức vào một con rùa trong cùng một loạt .",Jacob là tên nhân vật điển trai biến đổi hình dạng trong tuần trăng thành chó sói trong cùng loạt phim .
HCMC shuts biggest employer to contain new coronavirus,TP HCM đóng cửa nhà tuyển dụng lớn nhất để ngăn chặn coronavirus mới,TP HCM tạm đóng cửa nhà tuyển dụng lớn tiềm ẩn coronavirus
so you too can help them find their way.,nên bạn cũng có thể giúp họ tìm cách.,để bạn cũng có thể giúp chúng tìm ra lối thoát.
"The hepatitis A virus ( HAV ) causes fever , nausea , vomiting , and jaundice , and can lead to community-wide epidemics .","Vi-rút viêm gan siêu vi A ( HAV ) gây ra sốt , buồn nôn , ói mửa , và sưng tĩnh , và có thể dẫn đến dịch bệnh trên toàn cộng đồng .","Vi-rút viêm gan siêu vi A ( HAV ) gây ra sốt , buồn nôn , ói mửa , vàng da , và có thể dẫn đến đại dịch trong cộng đồng ."
"So our task, as connectors between inspiration and reality,","Vì vậy, nhiệm vụ của chúng tôi, như những sự kết nối giữa sự cảm hứng và thực tế,","Vì vậy, nhiệm vụ của chúng tôi, như kết nối giữa cảm hứng và thực tế,"
"or how many discouraging books on ISIS, the terrorist group,","hay bao nhiêu cuốn sách tấn công tại ISIS, nhóm khủng bố,","hay có bao nhiêu cuốn sách nao lòng về ISIS, chủ nghĩa khủng bố,"
"Vietnamese Americans are the only Asian American group that prefers Donald Trump to Joe Biden in the upcoming presidential election, according to a survey.","Theo một khảo sát, người Mỹ gốc Việt là nhóm người Mỹ gốc Á duy nhất thích Donald Trump đến Joe Biden trong cuộc bầu cử tổng thống sắp tới.",Một cuộc khảo sát cho thấy người Mỹ gốc Việt là nhóm người Mỹ gốc Á duy nhất thích Donald Trump hơn Joe Biden trong cuộc bầu cử tổng thống sắp tới.
"And I think as Jews, you know, we've lived that history:","Và tôi nghĩ như người Do Thái, chúng ta đã sống lịch sử đó:",Người Do Thái chúng ta đã kinh qua điều đó:
Treatment endometriosis Excision,Điều trị lạc nội mạc tử cung,Điều trị lạc nội mạc tử cung bằng cách cắt rạch
(Applause),(Cười),(Vỗ tay)
